date,coin_id,symbol,price_usd,total_volume_usd,daily_return,log_return,roll_vol_30d,roll_mean_30d
2018-03-16,binancecoin,BNB,9.0645,36778757.583016,-0.004415301986885778,-0.004425078219997615,1.4112940212425733,9.679586666666667
2018-03-17,binancecoin,BNB,8.9231,35664698.273175,-0.015599316013017894,-0.015722265639205698,1.4012231734396399,9.61482
2018-03-18,binancecoin,BNB,8.9648,33053790.205281,0.004673263776042047,0.004662377980502879,1.3939797852256026,9.538646666666667
2018-03-19,binancecoin,BNB,9.035,34486023.701827,0.007830626450116007,0.007800126215308788,1.3864181457765996,9.451146666666666
2018-03-20,binancecoin,BNB,9.1618,35159668.439161,0.014034311012728118,0.013936741887182108,1.3570906397735905,9.401103333333333
2018-03-21,binancecoin,BNB,9.9777,47849842.97735,0.08905455259883444,0.08530993690995592,1.3862492192123765,9.365023333333333
2018-03-22,binancecoin,BNB,10.0806,47848987.776693,0.010312997985507666,0.010260181839944829,1.330259923142469,9.371416666666667
2018-03-23,binancecoin,BNB,11.7397,58744458.384913,0.16458345733388868,0.15236347572948347,1.4162167271025519,9.450076666666666
2018-03-24,binancecoin,BNB,13.2398,109966022.967657,0.12778009659531353,0.12025118424382987,1.4492004117671817,9.596070000000001
2018-03-25,binancecoin,BNB,12.95,82161202.42043,-0.021888548165380217,-0.02213165650904136,1.4273068962829676,9.704636666666666
2018-03-26,binancecoin,BNB,12.05,65134074.948887,-0.06949806949806936,-0.0720311282088826,1.432447110790816,9.803393333333334
2018-03-27,binancecoin,BNB,11.5404,47085538.256193,-0.042290456431535284,-0.043210737412364655,1.4422222349671308,9.876406666666666
2018-03-28,binancecoin,BNB,11.6888,37792501.912111,0.012859172992270684,0.012777195851438319,1.4301361519821378,9.93537
2018-03-29,binancecoin,BNB,10.1877,39276255.097276,-0.12842207925535565,-0.1374500080996194,1.4982046758222956,9.92296
2018-03-30,binancecoin,BNB,10.3955,38548819.307562,0.020397145577510267,0.02019190992518788,1.4996617938649135,9.921023333333332
2018-03-31,binancecoin,BNB,11.051,45663753.203284,0.06305613005627442,0.06114790140533916,1.514860680938631,9.940163333333334
2018-04-01,binancecoin,BNB,11.0767,44633665.77944,0.0023255813953488857,0.0023228814161397287,1.5121407846582904,9.968226666666665
2018-04-02,binancecoin,BNB,12.5996,53481043.8005,0.13748679660909846,0.12882126439898559,1.574805897756921,10.046883333333334
2018-04-03,binancecoin,BNB,13.305,68261762.427423,0.05598590431442263,0.0544748370078821,1.5832400713741324,10.143253333333332
2018-04-04,binancecoin,BNB,12.21,64097901.423755,-0.08229988726042836,-0.08588461630703914,1.6113161841471364,10.214096666666666
2018-04-05,binancecoin,BNB,12.4888,53212219.531211,0.02283374283374262,0.022576954537706296,1.58739953728673,10.317393333333333
